Date,Open,High,Low,Close,Adj Close,Volume,GDP,Balance of trade ,Total Population,Total cases,Total deaths,People Vaccinated,Uncertainty index,MYR/USD,Unemployment rate,Inflation rate,Interest rate ,FTSE Bursa Malaysia KLCI,WTI Crude Oil,Brent Crude Oil
02-01-2019,9.9,9.9,9.81,9.84,9.312161,11600,342400000000,11514200000,31949777,0,0,0,0.1586798,0.24216,0.033,-0.005,0.0318,1668.109985,46.31,54.06
03-01-2019,9.85,9.9,9.78,9.81,9.283771,20600,342400000000,11514200000,31949777,0,0,0,0.1586798,0.241838,0.033,-0.005,0.0324,1675.829956,46.92,53.23
04-01-2019,9.81,9.81,9.65,9.65,9.132353,74400,342400000000,11514200000,31949777,0,0,0,0.1586798,0.241546,0.033,-0.005,0.032,1669.780029,47.76,55.64
07-01-2019,9.79,9.97,9.75,9.84,9.312161,122700,342400000000,11514200000,31949777,0,0,0,0.1586798,0.242601,0.033,-0.005,0.0318,1679.170044,48.27,57.1
08-01-2019,9.89,10.28,9.89,10.14,9.596069,144700,342400000000,11514200000,31949777,0,0,0,0.1586798,0.243173,0.033,-0.005,0.0318,1672.76001,49.58,56.91
09-01-2019,10.18,10.38,9.96,10.06,9.520361,141400,342400000000,11514200000,31949777,0,0,0,0.1586798,0.243055,0.033,-0.005,0.0324,1667.829956,52.19,59.46
10-01-2019,10.1,10.18,9.99,10.02,9.482507,121200,342400000000,11514200000,31949777,0,0,0,0.1586798,0.243813,0.033,-0.005,0.0325,1678.880005,52.42,60.47
11-01-2019,10.16,10.28,10,10.28,9.728559,94600,342400000000,11514200000,31949777,0,0,0,0.1586798,0.2442,0.033,-0.005,0.0323,1683.219971,51.44,59.24
14-01-2019,10.32,10.34,9.98,10.06,9.520361,94800,342400000000,11514200000,31949777,0,0,0,0.1586798,0.24429,0.033,-0.005,0.0323,1676.160034,50.31,58.8
15-01-2019,10.04,10.28,9.98,10.28,9.728559,100000,342400000000,11514200000,31949777,0,0,0,0.1586798,0.244182,0.033,-0.005,0.0321,1679.420044,51.8,58.65
